Site,Date,Transect,Lat (Start),Long (Start),Lat (End),Long (End),Quad No,Side,Rock,Boulder,Cobble,Sand,Investigators,Entered By,Checked By,Notes
Point Pinos,20210624,3,36.63803,121.93687,36.63819,121.93697,4,NA,NA,NA,NA,NA,"EV, EC ",KR,,
Point Pinos,20210624,3,36.63803,121.93687,36.63819,121.93697,5,NA,NA,NA,NA,NA,"EV, EC ",KR,,
Point Pinos,20210624,4,36.63837,121.93707,36.63847,121.93723,1,Land,NA,NA,NA,NA,"IH, PS",KR,,
Point Pinos,20210624,4,36.63837,121.93707,36.63847,121.93723,2,NA,NA,NA,NA,NA,"IH, PS",KR,,
Point Pinos,20210624,4,36.63837,121.93707,36.63847,121.93723,3,NA,NA,NA,NA,NA,"IH, PS",KR,,
Point Pinos,20210624,4,36.63837,121.93707,36.63847,121.93723,4,Land,NA,NA,NA,NA,"IH, PS",KR,,
Point Pinos,20210624,4,36.63837,121.93707,36.63847,121.93723,5,Sea,NA,NA,NA,NA,"IH, PS",KR,,
Point Pinos,20210624,2,36.63791,121.93667,36.63801,121.93684,1,NA,NA,NA,NA,NA,"KR, ADT ",KR,,
Point Pinos,20210624,2,36.63791,121.93667,36.63801,121.93684,2,NA,NA,NA,NA,NA,"KR, ADT ",KR,,
Point Pinos,20210624,2,36.63791,121.93667,36.63801,121.93684,3,NA,NA,NA,NA,NA,"KR, ADT ",KR,,
Point Pinos,20210624,2,36.63791,121.93667,36.63801,121.93684,4,NA,NA,NA,NA,NA,"KR, ADT ",KR,,
Point Pinos,20210624,2,36.63791,121.93667,36.63801,121.93684,5,NA,NA,NA,NA,NA,"KR, ADT ",KR,,
Sea Palm,20210712,5,36.62934,121.92155,36.62951,121.92147,1,Land,12,44,20,30,"EC, ADT, LD",KR,,
Sea Palm,20210712,5,36.62934,121.92155,36.62951,121.92147,2,Sea,NA,NA,NA,NA,"EC, ADT, LD",KR,,
Sea Palm,20210712,5,36.62934,121.92155,36.62951,121.92147,3,Land,22,57,8,29,"EC, ADT, LD",KR,,
Sea Palm,20210712,5,36.62934,121.92155,36.62951,121.92147,4,Sea,75,20,6,0,"EC, ADT, LD",KR,,
Sea Palm,20210712,5,36.62934,121.92155,36.62951,121.92147,5,Land,4,37,42,5,"EC, ADT, LD",KR,,
Hopkins,20210723,3,36.62126,121.9032,36.6214,121.90339,1,Land,5,90,0,5,"KR, AJH",KR,,
Hopkins,20210723,3,36.62126,121.9032,36.6214,121.90339,2,Sea,85,0,0,15,"KR, AJH",KR,,
Hopkins,20210723,3,36.62126,121.9032,36.6214,121.90339,3,Land,9,40,0,51,"KR, AJH",KR,,
Hopkins,20210723,3,36.62126,121.9032,36.6214,121.90339,4,Sea,0,70,0,30,"KR, AJH",KR,,
Hopkins,20210723,3,36.62126,121.9032,36.6214,121.90339,5,Land,0,35,0,65,"KR, AJH",KR,,
Hopkins,20210723,3,36.62126,121.9032,36.6214,121.90339,6,Sea,100,0,0,0,"KR, AJH",KR,,
