"","Site","Date","Season","Transect","Quadrat","drift_quad_winter","drift_quad_spring","Latitude","Longitude","Side","Cr_NC","Cr_Cor","Cr_AC","Filament","Corticated","Foliose","Leathery","Kelp","Kelp_species","SG","BR","Mussel","Anemone","Barnacle","Other","Other.spp.","Drift_Kelp","Drift.Kelp.Spp.","Rock","Boulder","Cobble","Sand","density","Urchin_.0.5","Urchin_.1","Urchin_1","Urchin_2","Urchin_3","Urchin_4","Urchin_5","Urchin_.6","Urchins_measured","Notes","total","fleshy","coralline","crust","invert","non_food","big_urchins"
"66","Hopkins",2022-11-22,"Fall","CQ","1",1,1,36.621727,-121.903535,NA,13.5135135135135,9.00900900900901,0,0,2.7027027027027,0,0.900900900900901,0,"",0,1.8018018018018,59.4594594594595,0.900900900900901,11.7117117117117,0,"",0,"",70,30,0,0,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Coordinates estimated using Google Maps",111,3.6036036036036,9.00900900900901,22.5225225225225,72.0720720720721,73.8738738738739,NA
"67","Hopkins",2022-11-22,"Fall","CQ","2",NA,NA,36.62159,-121.90344,NA,11.1111111111111,7.69230769230769,0,0.854700854700855,4.27350427350427,0.854700854700855,35.042735042735,0,"",14.5299145299145,1.70940170940171,23.0769230769231,0,0,0.854700854700855,"tube snails",0,"",100,0,0,0,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",117,40.1709401709402,7.69230769230769,18.8034188034188,23.9316239316239,25.6410256410256,NA
"68","Hopkins",2022-11-22,"Fall","CQ","3",NA,NA,36.62159,-121.90328,NA,14.7368421052632,13.6842105263158,0,0,0,0,0,0,"",0,23.1578947368421,42.1052631578947,5.26315789473684,1.05263157894737,0,"",8,"",95,5,0,0,229,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",95,0,13.6842105263158,28.4210526315789,48.4210526315789,71.5789473684211,NA
"69","Hopkins",2022-11-22,"Fall","CQ","4",2,2,36.62133,-121.90311,NA,26.9230769230769,9.61538461538462,0,0,0,0,0,0,"",0,50,4.80769230769231,5.76923076923077,2.88461538461538,0,"",1,"",100,0,0,0,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",104,0,9.61538461538462,36.5384615384615,13.4615384615385,63.4615384615385,NA
"70","Hopkins",2022-11-22,"Fall","CQ","5",NA,NA,36.6215,-121.90377,NA,7.14285714285714,12.2448979591837,1.02040816326531,0,0,0,18.3673469387755,0,"",16.3265306122449,1.02040816326531,42.8571428571429,0,0,1.02040816326531,"tube snails",0,"",100,0,0,0,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",98,18.3673469387755,13.265306122449,20.4081632653061,43.8775510204082,44.8979591836735,NA
"71","Otter Cove",2022-11-23,"Fall","CQ","1",2,1,36.62801,-121.92031,NA,24.0740740740741,2.77777777777778,12.037037037037,2.77777777777778,5.55555555555556,0,26.8518518518519,0,"",0.925925925925926,11.1111111111111,0,3.7037037037037,8.33333333333333,1.85185185185185,"calcareous tube worms",0,"",0,90,10,0,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",108,32.4074074074074,14.8148148148148,38.8888888888889,13.8888888888889,25,NA
"72","Otter Cove",2022-11-23,"Fall","CQ","2",2,1,36.62801,-121.92015,NA,5.71428571428571,23.8095238095238,15.2380952380952,0.952380952380952,0.952380952380952,0,34.2857142857143,4.76190476190476,"",11.4285714285714,0.952380952380952,0,0,0.952380952380952,0.952380952380952,"tube snails",3,"",100,0,0,0,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",105,40,39.047619047619,44.7619047619048,1.9047619047619,2.85714285714286,NA
"73","Otter Cove",2022-11-23,"Fall","CQ","3",2,1,36.62773,-121.91969,NA,4,8,2,1,5,0,48,17,"",1,8,0,4,1,1,"tube snails",1,"",100,0,0,0,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",100,70,10,14,6,14,NA
"74","Otter Cove",2022-11-23,"Fall","CQ","4",1,2,36.62967,-121.92133,NA,35.1851851851852,10.1851851851852,0.925925925925926,0,9.25925925925926,0,12.962962962963,1.85185185185185,"",0,26.8518518518519,0,0.925925925925926,1.85185185185185,0,"",0,"",100,0,0,0,149,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",108,24.0740740740741,11.1111111111111,46.2962962962963,2.77777777777778,29.6296296296296,NA
"75","Otter Cove",2022-11-23,"Fall","CQ","5",1,2,36.62984,-121.92138,NA,8.69565217391304,15.6521739130435,17.3913043478261,0,2.60869565217391,0,25.2173913043478,0,"",19.1304347826087,11.304347826087,0,0,0,0,"",0,"",10,50,0,40,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",115,27.8260869565217,33.0434782608696,41.7391304347826,0,11.304347826087,NA
"76","Soberanes Pt.",2022-11-24,"Fall","CQ","1",1,1,36.45283,-121.93024,NA,4.44444444444444,62.2222222222222,2.96296296296296,0,0,3.7037037037037,3.7037037037037,17.037037037037,"",0,0.740740740740741,0,2.96296296296296,0,2.22222222222222,"sponge",0,"",100,0,0,0,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",135,24.4444444444444,65.1851851851852,69.6296296296296,5.18518518518519,5.92592592592593,NA
"77","Soberanes Pt.",2022-11-24,"Fall","CQ","2",NA,NA,36.45274,-121.93008,NA,9.16030534351145,30.5343511450382,16.030534351145,0,0,14.5038167938931,9.16030534351145,12.9770992366412,"",0,0.763358778625954,0,5.34351145038168,0,1.52671755725191,"1 sponge 1 bryozoan",0,"",100,0,0,0,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",131,36.6412213740458,46.5648854961832,55.7251908396947,6.87022900763359,7.63358778625954,NA
"78","Soberanes Pt.",2022-11-24,"Fall","CQ","3",2,NA,36.45277,-121.92967,NA,9.57446808510638,39.3617021276596,2.12765957446809,0,0,2.12765957446809,0,5.31914893617021,"",0,27.6595744680851,1.06382978723404,4.25531914893617,0,8.51063829787234,"sponge",6,"",80,0,0,20,438,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",94,7.4468085106383,41.4893617021277,51.063829787234,13.8297872340426,41.4893617021277,NA
"79","Soberanes Pt.",2022-11-24,"Fall","CQ","4",1,1,36.4528,-121.93014,NA,20,23.6363636363636,6.36363636363636,0,0,6.36363636363636,7.27272727272727,15.4545454545455,"",0,0,0,17.2727272727273,0,3.63636363636364,"1 sponge 3 tubeworm",0,"",100,0,0,0,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",110,29.0909090909091,30,50,20.9090909090909,20.9090909090909,NA
"80","Soberanes Pt.",2022-11-24,"Fall","CQ","5",NA,2,36.4524,-121.92999,NA,1.78571428571429,8.92857142857143,10.7142857142857,1.78571428571429,0.892857142857143,0.892857142857143,0.892857142857143,5.35714285714286,"",0,1.78571428571429,64.2857142857143,1.78571428571429,0,0.892857142857143,"sponge",0,"",100,0,0,0,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",112,8.03571428571428,19.6428571428571,21.4285714285714,66.9642857142857,68.75,NA
"81","China Rock",2022-11-25,"Fall","CQ","1",1,1,36.6064,-121.95953,NA,25.9259259259259,8.33333333333333,0.925925925925926,0.925925925925926,14.8148148148148,3.7037037037037,15.7407407407407,0,"",0,24.0740740740741,2.77777777777778,2.77777777777778,0,0,"",0,"",100,0,0,0,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",108,34.2592592592593,9.25925925925926,35.1851851851852,5.55555555555556,29.6296296296296,NA
"82","China Rock",2022-11-25,"Fall","CQ","2",1,1,36.60614,-121.95959,NA,7.37704918032787,16.3934426229508,2.45901639344262,0,0.819672131147541,1.63934426229508,19.672131147541,15.5737704918033,"Egregia",1.63934426229508,32.7868852459016,0.819672131147541,0.819672131147541,0,0,"",0,"",20,5,75,0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",122,37.7049180327869,18.8524590163934,26.2295081967213,1.63934426229508,34.4262295081967,NA
"83","China Rock",2022-11-25,"Fall","CQ","3",2,NA,36.606,-121.95986,NA,4.67289719626168,19.6261682242991,1.86915887850467,0,0,8.41121495327103,42.9906542056075,0.934579439252336,"",0,11.214953271028,0.934579439252336,8.41121495327103,0,0.934579439252336,"sponge",0,"",100,0,0,0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",107,52.3364485981308,21.4953271028037,26.1682242990654,10.2803738317757,21.4953271028037,NA
"84","China Rock",2022-11-25,"Fall","CQ","4",NA,2,36.6058,-121.96004,NA,3.84615384615385,11.5384615384615,0.961538461538462,0.961538461538462,0,2.88461538461538,53.8461538461538,0,"",0,23.0769230769231,0,2.88461538461538,0,0,"",0,"",70,10,20,0,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",104,56.7307692307692,12.5,16.3461538461538,2.88461538461538,25.9615384615385,NA
"85","China Rock",2022-11-25,"Fall","CQ","5",NA,NA,36.6056,-121.96028,NA,1.66666666666667,12.5,15,0,4.16666666666667,0,18.3333333333333,25,"Egregia",7.5,12.5,0,1.66666666666667,0,1.66666666666667,"tunicate",0,"",0,80,20,0,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",120,47.5,27.5,29.1666666666667,3.33333333333333,15.8333333333333,NA
"86","Pescadero Pt.",2022-11-26,"Fall","CQ","1",2,NA,36.56144,-121.9547,NA,3.14465408805031,37.1069182389937,9.43396226415094,0,0,1.88679245283019,7.54716981132075,36.4779874213836,"Egregia",0,3.14465408805031,0,0,0.628930817610063,0.628930817610063,"sponge",0,"",100,0,0,0,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",159,45.9119496855346,46.5408805031446,49.685534591195,1.25786163522013,4.40251572327044,NA
"87","Pescadero Pt.",2022-11-26,"Fall","CQ","2",NA,1,36.56124,-121.95451,NA,8.28025477707006,19.7452229299363,24.8407643312102,0,0.636942675159236,3.82165605095541,12.1019108280255,8.9171974522293,"Egregia",0,5.73248407643312,3.82165605095541,12.1019108280255,0,0,"",0,"",100,0,0,0,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",157,25.4777070063694,44.5859872611465,52.8662420382166,15.9235668789809,21.656050955414,NA
"88","Pescadero Pt.",2022-11-26,"Fall","CQ","3",NA,1,36.56115,-121.95445,NA,1.06382978723404,43.6170212765958,3.19148936170213,0,0,0,0,0,"",0,18.0851063829787,12.7659574468085,21.2765957446809,0,0,"",1,"",100,0,0,0,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",94,0,46.8085106382979,47.8723404255319,34.0425531914894,52.1276595744681,NA
"89","Pescadero Pt.",2022-11-26,"Fall","CQ","4",1,2,36.56105,-121.95401,NA,17.4311926605505,1.8348623853211,1.8348623853211,0,0.917431192660551,34.8623853211009,12.8440366972477,0,"",0,25.6880733944954,2.75229357798165,1.8348623853211,0,0,"",2,"",50,50,0,0,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",109,48.6238532110092,3.6697247706422,21.1009174311927,4.58715596330275,30.2752293577982,NA
"90","Pescadero Pt.",2022-11-26,"Fall","CQ","5",1,2,36.56099,-121.95393,NA,16.969696969697,10.3030303030303,25.4545454545455,0,0,18.7878787878788,12.7272727272727,0,"",3.03030303030303,11.5151515151515,0,0.606060606060606,0,0.606060606060606,"tube snail",0,"",100,0,0,0,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",165,31.5151515151515,35.7575757575758,52.7272727272727,1.21212121212121,12.7272727272727,NA
"91","China Rock",2023-01-18,"Winter","CQ","1",1,1,36.60645,-121.95958,NA,12.5984251968504,14.1732283464567,20.4724409448819,0.78740157480315,4.7244094488189,3.1496062992126,0.78740157480315,0,"",0,16.5354330708661,22.0472440944882,1.5748031496063,2.36220472440945,0.78740157480315,"tunicate",1,"Laminaria setchelli",70,0,30,0,205,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",127,8.66141732283464,34.6456692913386,47.244094488189,26.7716535433071,43.3070866141732,NA
"92","China Rock",2023-01-18,"Winter","CQ","2",1,1,36.60631,-121.95936,NA,13.4453781512605,19.327731092437,10.0840336134454,0,10.9243697478992,0.840336134453782,4.20168067226891,0,"",9.2436974789916,30.2521008403361,0.840336134453782,0,0,0.840336134453782,"",0,"",0,70,30,0,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",119,15.9663865546218,29.4117647058824,42.8571428571429,1.68067226890756,31.9327731092437,NA
"93","China Rock",2023-01-18,"Winter","CQ","3",1,1,36.60615,-121.95961,NA,24.1379310344828,25,0.862068965517241,0,1.72413793103448,1.72413793103448,4.31034482758621,5.17241379310345,"Egregia menziesii",0,34.4827586206897,0.862068965517241,1.72413793103448,0,0,"",0,"",NA,NA,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",116,12.9310344827586,25.8620689655172,50,2.58620689655172,37.0689655172414,NA
"94","China Rock",2023-01-18,"Winter","CQ","4",2,2,36.60602,-121.95988,NA,14.2857142857143,25.2100840336134,3.36134453781513,0,0,8.40336134453782,22.6890756302521,3.36134453781513,"Egregia menziesii",0.840336134453782,6.72268907563025,0,13.4453781512605,0,1.68067226890756,"1 sponge, 1 tunicate",0,"",NA,NA,NA,NA,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",119,34.453781512605,28.5714285714286,42.8571428571429,15.1260504201681,21.8487394957983,NA
"95","China Rock",2023-01-18,"Winter","CQ","5",2,2,36.60591,-121.96002,NA,10.2803738317757,9.34579439252336,25.2336448598131,0,9.34579439252336,0.934579439252336,6.54205607476635,0.934579439252336,"Egregia menziesii",0,24.2990654205607,0,10.2803738317757,1.86915887850467,0.934579439252336,"tubeworm",0,"",100,0,0,0,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",107,17.7570093457944,34.5794392523364,44.8598130841121,13.0841121495327,37.3831775700935,NA
"96","Hopkins",2023-01-19,"Winter","CQ","1",1,1,36.62173,-121.90349,NA,2.85714285714286,0.952380952380952,0,0,0,0.952380952380952,6.66666666666667,0,"",0.952380952380952,8.57142857142857,79.0476190476191,0,0,0,"",0,"",100,0,0,0,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",105,7.61904761904762,0.952380952380952,3.80952380952381,79.0476190476191,87.6190476190476,NA
"97","Hopkins",2023-01-19,"Winter","CQ","2",NA,NA,36.62166,-121.90333,NA,20.8333333333333,5.83333333333333,2.5,0,5.83333333333333,0.833333333333333,7.5,0,"",5.83333333333333,16.6666666666667,16.6666666666667,0,16.6666666666667,0.833333333333333,"",0,"",100,0,0,0,164,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",120,14.1666666666667,8.33333333333333,29.1666666666667,34.1666666666667,50.8333333333333,NA
"98","Hopkins",2023-01-19,"Winter","CQ","3",NA,NA,36.62151,-121.90379,NA,9,13,1,0,0,0,18,0,"",12,8,38,1,0,0,"",1,"Laminaria setchellii",100,0,0,0,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",100,18,14,23,39,47,NA
"99","Hopkins",2023-01-19,"Winter","CQ","4",2,2,36.62148,-121.90331,NA,22.4299065420561,8.41121495327103,1.86915887850467,1.86915887850467,2.80373831775701,5.60747663551402,30.8411214953271,0,"",0,12.1495327102804,12.1495327102804,0.934579439252336,0,0.934579439252336,"sponge",2,"",100,0,0,0,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",107,39.2523364485981,10.2803738317757,32.7102803738318,14.018691588785,26.1682242990654,NA
"100","Hopkins",2023-01-19,"Winter","CQ","5",2,2,36.62136,-121.90312,NA,34,8,0,0,1,0,0,0,"",0,38,7,8,4,0,"",0,"",100,0,0,0,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",100,1,8,42,19,57,NA
"101","Pescadero Pt.",2023-01-20,"Winter","CQ","1",2,NA,36.56148,-121.95483,NA,30.6930693069307,8.91089108910891,12.8712871287129,0,0,0,1.98019801980198,0.99009900990099,"Egregia menziesii",0,41.5841584158416,0.99009900990099,0,0.99009900990099,0.99009900990099,"tunicate",0,"",95,5,0,0,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",101,2.97029702970297,21.7821782178218,52.4752475247525,2.97029702970297,44.5544554455446,NA
"102","Pescadero Pt.",2023-01-20,"Winter","CQ","2",NA,1,36.56121,-121.95454,NA,10.3448275862069,35.8620689655172,11.7241379310345,0,0,2.06896551724138,0,2.75862068965517,"",0,14.4827586206897,3.44827586206897,18.6206896551724,0,0.689655172413793,"sponge",0,"",100,0,0,0,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",145,4.82758620689655,47.5862068965517,57.9310344827586,22.7586206896552,37.2413793103448,NA
"103","Pescadero Pt.",2023-01-20,"Winter","CQ","3",1,2,36.5611,-121.95414,NA,32.1100917431193,9.1743119266055,1.8348623853211,0,3.6697247706422,1.8348623853211,1.8348623853211,3.6697247706422,"Egregia menziesii",0,21.1009174311927,5.5045871559633,1.8348623853211,17.4311926605505,0,"",2,"",100,0,0,0,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",109,11.0091743119266,11.0091743119266,43.1192660550459,24.7706422018349,45.8715596330275,NA
"104","Pescadero Pt.",2023-01-20,"Winter","CQ","4",1,2,36.56105,-121.95405,NA,20.952380952381,7.61904761904762,4.76190476190476,0,2.85714285714286,0,1.9047619047619,3.80952380952381,"Egregia menziesii",0,19.047619047619,29.5238095238095,3.80952380952381,5.71428571428571,0,"",0,"",100,0,0,0,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",105,8.57142857142857,12.3809523809524,33.3333333333333,39.0476190476191,58.0952380952381,NA
"105","Pescadero Pt.",2023-01-20,"Winter","CQ","5",1,2,36.56098,-121.95395,NA,21.2121212121212,38.3838383838384,7.07070707070707,0,0,1.01010101010101,1.01010101010101,20.2020202020202,"Egregia menziesii",0,8.08080808080808,1.01010101010101,0,1.01010101010101,1.01010101010101,"tubesnail",0,"",100,0,0,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",99,22.2222222222222,45.4545454545455,66.6666666666667,3.03030303030303,11.1111111111111,NA
"106","Pt. Pinos",2023-01-21,"Winter","CQ","1",NA,NA,36.63768,-121.93613,NA,22.6890756302521,6.72268907563025,10.9243697478992,0,10.9243697478992,5.04201680672269,10.9243697478992,0,"",7.56302521008403,16.8067226890756,2.52100840336134,2.52100840336134,0,3.36134453781513,"sponge",0,"",65,0,0,35,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",119,26.890756302521,17.6470588235294,40.3361344537815,8.40336134453782,25.2100840336134,NA
"107","Pt. Pinos",2023-01-21,"Winter","CQ","2",NA,1,36.6381,-121.93675,NA,9.18367346938776,19.3877551020408,4.08163265306122,0,1.02040816326531,1.02040816326531,34.6938775510204,0,"",0,25.5102040816327,2.04081632653061,1.02040816326531,1.02040816326531,1.02040816326531,"sponge",0,"",65,5,5,25,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",98,36.734693877551,23.469387755102,32.6530612244898,5.10204081632653,30.6122448979592,NA
"108","Pt. Pinos",2023-01-21,"Winter","CQ","3",NA,1,36.63819,-121.93685,NA,6.60377358490566,13.2075471698113,1.88679245283019,0.943396226415094,1.88679245283019,0.943396226415094,3.77358490566038,20.7547169811321,"Egregia menziesii",0,39.622641509434,6.60377358490566,3.77358490566038,0,0,"",0,"",90,0,5,5,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",106,27.3584905660377,15.0943396226415,21.6981132075472,10.377358490566,50,NA
"109","Pt. Pinos",2023-01-21,"Winter","CQ","4",NA,2,36.63842,-121.93705,NA,5.63380281690141,34.5070422535211,8.45070422535211,0,0,0.704225352112676,7.74647887323944,19.0140845070423,"Egregia menziesii",2.11267605633803,16.1971830985916,2.11267605633803,2.8169014084507,0,0.704225352112676,"sponge",0,"",95,0,2,3,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",142,27.4647887323944,42.9577464788732,48.5915492957746,5.63380281690141,21.830985915493,NA
"110","Pt. Pinos",2023-01-21,"Winter","CQ","5",NA,2,36.63854,-121.93723,NA,0.854700854700855,19.6581196581197,22.2222222222222,0,0,0.854700854700855,1.70940170940171,43.5897435897436,"46 Egregia, 5 Laminaria setchellii",0,4.27350427350427,2.56410256410256,4.27350427350427,0,0,"",0,"",100,0,0,0,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",117,46.1538461538462,41.8803418803419,42.7350427350427,6.83760683760684,11.1111111111111,NA
"111","Otter Cove",2023-01-21,"Winter","CQ","1",NA,2,36.62962,-121.92133,NA,27.0833333333333,8.33333333333333,6.25,1.04166666666667,9.375,0,4.16666666666667,2.08333333333333,"",0,36.4583333333333,0,0,5.20833333333333,0,"",3,"",100,0,0,0,164,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",96,15.625,14.5833333333333,41.6666666666667,5.20833333333333,41.6666666666667,NA
"112","Otter Cove",2023-01-21,"Winter","CQ","2",2,1,36.62801,-121.92027,NA,15.5172413793103,30.1724137931034,31.0344827586207,0.862068965517241,6.89655172413793,0,6.03448275862069,0,"",5.17241379310345,3.44827586206897,0.862068965517241,0,0,0,"",0,"",100,0,0,0,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",116,12.9310344827586,61.2068965517241,76.7241379310345,0.862068965517241,4.31034482758621,NA
"113","Otter Cove",2023-01-21,"Winter","CQ","3",2,1,36.62799,-121.92024,NA,69.3877551020408,0,1.02040816326531,0,4.08163265306122,0,12.2448979591837,0,"",0,4.08163265306122,0,6.12244897959184,3.06122448979592,0,"",0,"",0,90,0,10,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",98,16.3265306122449,1.02040816326531,70.4081632653061,9.18367346938775,13.265306122449,NA
"114","Otter Cove",2023-01-21,"Winter","CQ","4",2,1,36.62786,-121.92016,NA,45.2631578947368,21.0526315789474,3.15789473684211,0,10.5263157894737,2.10526315789474,4.21052631578947,3.15789473684211,"",2.10526315789474,4.21052631578947,0,0,4.21052631578947,0,"",0,"",0,95,0,5,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",95,20,24.2105263157895,69.4736842105263,4.21052631578947,8.42105263157895,NA
"115","Otter Cove",2023-01-21,"Winter","CQ","5",2,1,36.62775,-121.91977,NA,28.5714285714286,7.14285714285714,11.6071428571429,0,8.03571428571429,0,26.7857142857143,0.892857142857143,"Egregia menziesii",3.57142857142857,3.57142857142857,0,1.78571428571429,7.14285714285714,0.892857142857143,"sponge",0,"",100,0,0,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",112,35.7142857142857,18.75,47.3214285714286,9.82142857142857,13.3928571428571,NA
"116","Carmel Pt.",2023-01-22,"Winter","CQ","1",1,1,36.5443,-121.93378,NA,20.2127659574468,8.51063829787234,9.57446808510638,0,4.25531914893617,1.06382978723404,18.0851063829787,5.31914893617021,"2 Egregia, 3 Laminaria setchellii",0,15.9574468085106,2.12765957446809,9.57446808510638,3.19148936170213,2.12765957446809,"tunicate",4,"2 Macrocystis, 2 Laminaria",100,0,0,0,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",94,28.7234042553191,18.0851063829787,38.2978723404255,17.0212765957447,32.9787234042553,NA
"117","Carmel Pt.",2023-01-22,"Winter","CQ","2",1,1,36.54403,-121.93385,NA,49.4736842105263,4.21052631578947,0,0,5.26315789473684,3.15789473684211,23.1578947368421,0,"",0,10.5263157894737,0,0,2.10526315789474,2.10526315789474,"sponge",5,"Macrocystis",0,75,25,0,218,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",95,31.5789473684211,4.21052631578947,53.6842105263158,4.21052631578947,14.7368421052632,NA
"118","Carmel Pt.",2023-01-22,"Winter","CQ","3",NA,NA,36.5439,-121.93408,NA,4.85436893203883,29.126213592233,22.3300970873786,0,0.970873786407767,4.85436893203883,11.6504854368932,0,"",0,23.3009708737864,0.970873786407767,0,0.970873786407767,0.970873786407767,"sponge",4,"Macrocystis",0,100,0,0,216,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",103,17.4757281553398,51.4563106796116,56.3106796116505,2.9126213592233,26.2135922330097,NA
"119","Carmel Pt.",2023-01-22,"Winter","CQ","4",NA,NA,36.54383,-121.93414,NA,34.8623853211009,3.6697247706422,0.917431192660551,0,0.917431192660551,7.3394495412844,21.1009174311927,0.917431192660551,"Egregia menziesii",0,21.1009174311927,1.8348623853211,0.917431192660551,4.58715596330275,1.8348623853211,"1 tunicate, 1 bryozoan",1,"Laminaria setchellii",10,80,10,0,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",109,30.2752293577982,4.58715596330275,39.4495412844037,9.1743119266055,30.2752293577982,NA
"120","Carmel Pt.",2023-01-22,"Winter","CQ","5",2,2,36.54364,-121.93423,NA,15.6716417910448,15.6716417910448,2.23880597014925,0,0,8.2089552238806,17.1641791044776,0,"",0,35.0746268656716,1.49253731343284,0.746268656716418,0.746268656716418,2.98507462686567,"sponge",0,"",70,30,0,0,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",134,25.3731343283582,17.910447761194,33.5820895522388,5.97014925373134,41.044776119403,NA
"121","Cannery Row",2023-01-23,"Winter","CQ","1",1,1,36.6138,-121.89747,NA,18.1102362204724,15.748031496063,3.1496062992126,0,3.1496062992126,0,0.78740157480315,0,"",0,18.8976377952756,19.6850393700787,19.6850393700787,0,0.78740157480315,"sponge",0,"",100,0,0,0,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",127,3.93700787401575,18.8976377952756,37.007874015748,40.1574803149606,59.0551181102362,NA
"122","Cannery Row",2023-01-23,"Winter","CQ","2",1,1,36.61398,-121.89768,NA,31.25,5.20833333333333,3.125,0,1.04166666666667,0,25,0,"",0,10.4166666666667,21.875,1.04166666666667,1.04166666666667,0,"",1,"Macrocystis",5,95,0,0,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",96,26.0416666666667,8.33333333333333,39.5833333333333,23.9583333333333,34.375,NA
"123","Cannery Row",2023-01-23,"Winter","CQ","3",1,1,36.61429,-121.89784,NA,21.875,3.125,7.29166666666667,0,7.29166666666667,0,9.375,0,"",0,34.375,14.5833333333333,2.08333333333333,0,0,"",1,"Macrocystis",10,90,0,0,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",96,16.6666666666667,10.4166666666667,32.2916666666667,16.6666666666667,51.0416666666667,NA
"124","Cannery Row",2023-01-23,"Winter","CQ","4",2,2,36.61453,-121.89786,NA,25.9842519685039,3.93700787401575,4.7244094488189,0,5.51181102362205,0,29.1338582677165,0,"",0,19.6850393700787,4.7244094488189,2.36220472440945,3.93700787401575,0,"",0,"",75,25,0,0,244,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",127,34.6456692913386,8.66141732283464,34.6456692913386,11.0236220472441,30.7086614173228,NA
"125","Cannery Row",2023-01-23,"Winter","CQ","5",2,2,36.6145,-121.89777,NA,31.9587628865979,8.24742268041237,7.21649484536082,0,4.12371134020619,1.03092783505155,14.4329896907216,0,"",0,25.7731958762887,3.09278350515464,2.06185567010309,2.06185567010309,0,"",0,"",100,0,0,0,238,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",97,19.5876288659794,15.4639175257732,47.4226804123711,7.21649484536082,32.9896907216495,NA
"126","Pt. Lobos",2023-02-03,"Winter","CQ","1",NA,NA,36.51908,-121.95376,NA,28.2828282828283,9.09090909090909,0,0,0,0,0,0,"",0,62.6262626262626,0,0,0,0,"",0,"",100,0,0,0,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",99,0,9.09090909090909,37.3737373737374,0,62.6262626262626,NA
