Site,Date,Transect,Lat..Start.,Long..Start.,Lat..End.,Long..End.,Quad.No,Side,Cr.NC,Cr.Cor,AC,Fila.,Cort.,Foliose,Leath.,Kelp,SG,BR,Mussel,Anem.,Barn.,Other,Investigators,Entered.By,Checked.By,Notes
Cannery Row,20210626,2,36.6138,121.89752,36.61392,121.89756,4,NA,4,0,0,0,13,0,34,0,0,55,0,0,0,0,"RB, EC, KR",KR,,
Cannery Row,20210626,2,36.6138,121.89752,36.61392,121.89756,5,NA,29,0,0,0,12,0,30,0,0,40,2,0,0,0,"RB, EC, KR",KR,,
Cannery Row,20210626,1,36.61378,121.89741,36.61391,121.89752,1,Land,0,4,8,0,0,0.5,50,0,0,4,2,4,30,0,"ADT, LD, DP",KR,,
Cannery Row,20210626,1,36.61378,121.89741,36.61391,121.89752,2,Sea,20,10,5,0,0,0,5,0,0,40,20.5,4.5,0,0.25,"ADT, LD, DP",KR,,
Cannery Row,20210626,1,36.61378,121.89741,36.61391,121.89752,3,Land,5,16,3,0,10,0,33,0,0,52,0,0,0,2,"ADT, LD, DP",KR,,
Cannery Row,20210626,1,36.61378,121.89741,36.61391,121.89752,4,Sea,28,0,1,0,4,0,37,0,0,40,0,4,2,3,"ADT, LD, DP",KR,,
Cannery Row,20210626,1,36.61378,121.89741,36.61391,121.89752,5,Land,25,12,3,0,12,1,2,0,0,2,0.5,0,20,0,"ADT, LD, DP",KR,,
China Rock,20210627,3,36.60605,121.95968,36.60595,121.95968,1,NA,43,10,2,0.5,3,4,27,14,4,8,0,2,1,1,"ADT, DP, LD",KR,,
China Rock,20210627,3,36.60605,121.95968,36.60595,121.95968,2,NA,36,7,8,0.5,9,12,31,0,4,4,0,2,2,2,"ADT, DP, LD",KR,,
China Rock,20210627,3,36.60605,121.95968,36.60595,121.95968,3,NA,20,0,4.5,1,2,1,4,0,0,12,50,1,1,4,"ADT, DP, LD",KR,,
China Rock,20210627,3,36.60605,121.95968,36.60595,121.95968,4,NA,20,1,2,0.5,8,0,7,0,0,41,15,2,2,5,"ADT, DP, LD",KR,,
China Rock,20210627,3,36.60605,121.95968,36.60595,121.95968,5,NA,32,0.5,2,0.5,10,15,11,0.5,0,29,10,3,1,3,"ADT, DP, LD",KR,,
China Rock,20210627,2,36.60607,121.95964,36.60624,121.95961,1,NA,39,9,0,0,5,9,21,0,0,52,0,1,0,2,"KR, PS, EC",KR,,
China Rock,20210627,2,36.60607,121.95964,36.60624,121.95961,2,NA,14,4,1,0,4,13,26,8,9,16,0,0,0,0,"KR, PS, EC",KR,,
China Rock,20210627,2,36.60607,121.95964,36.60624,121.95961,3,NA,5,19,1,0,7,7,21,12,0,42,0,0,0,5,"KR, PS, EC",KR,,
China Rock,20210627,2,36.60607,121.95964,36.60624,121.95961,4,NA,12,11,20,0,13,4,17,0.5,19,20,0.5,2,2,4,"KR, PS, EC",KR,,
China Rock,20210627,2,36.60607,121.95964,36.60624,121.95961,5,NA,12,3,3,0,3,21,16,33,1,1,5,0,0,1,"KR, PS, EC",KR,,
China Rock,20210627,1,36.60627,121.95963,36.60643,121.95956,1,Sea,11,15,9,0,9,1,15,2,0,36,0,0,0,0,"IH, AJH",KR,,
China Rock,20210627,1,36.60627,121.95963,36.60643,121.95956,2,NA,3,19,4,0,6,10,56,0,0,10,0,1,0,1,"IH, AJH",KR,,
China Rock,20210627,1,36.60627,121.95963,36.60643,121.95956,3,NA,48,2,2,1,5,15,14,0,0,10,9,0,1,0,"IH, AJH",KR,,
China Rock,20210627,1,36.60627,121.95963,36.60643,121.95956,4,NA,29,5,6,1,8,10,8,0,0,40,3,1,1,0,"IH, AJH",KR,,
China Rock,20210627,1,36.60627,121.95963,36.60643,121.95956,5,NA,39,18,10,1,6,10,6,0,0,23,4,1,1,0,"IH, AJH",KR,,
China Rock,20210713,4,36.60576,121.95997,36.60559,121.96005,1,NA,20,16,0.5,0.5,10,4,75,0,0,25,0,5,0,0,"LD, ADT",KR,,
China Rock,20210713,4,36.60576,121.95997,36.60559,121.96005,2,NA,50,0.5,0,0,15,29,75,0,0,15,0,0.5,0,0,"LD, ADT",KR,,
China Rock,20210713,4,36.60576,121.95997,36.60559,121.96005,3,NA,40,0,0.5,0.5,20,15,50,0,0,25,0,1,0,0,"LD, ADT",KR,,
China Rock,20210713,4,36.60576,121.95997,36.60559,121.96005,4,NA,56,3,0,0,15,5,35,0,0,25,0,4,0,0,"LD, ADT",KR,,
China Rock,20210713,4,36.60576,121.95997,36.60559,121.96005,5,NA,91,0.5,0,0,0.5,30,60,0,0,9,0,0.5,0,3,"LD, ADT",KR,,
China Rock,20210713,5,36.60554,121.96017,36.60537,121.96011,1,Land,25,1,0,0,6,17,70,0,0,12,0,1,0,0,"KR, EV, DP",KR,,
China Rock,20210713,5,36.60554,121.96017,36.60537,121.96011,2,Sea,26,4,6,0,14,16,50,0,0,16,0,0,0,0,"KR, EV, DP",KR,,
China Rock,20210713,5,36.60554,121.96017,36.60537,121.96011,3,Land,22,5,0,0,1,12,72,0,0,9,0,3,0,0,"KR, EV, DP",KR,,
China Rock,20210713,5,36.60554,121.96017,36.60537,121.96011,4,Sea,90,0,0,0,1,60,42,0,0,1,0,1,0,0,"KR, EV, DP",KR,,
China Rock,20210713,5,36.60554,121.96017,36.60537,121.96011,5,Land,30,3,0,0,12,25,45,9,0,10,6,1,0,0,"KR, EV, DP",KR,,
China Rock,20210713,6,36.60529,121.96017,36.60515,121.96006,1,Land,10,2,1,0,1,27,67,0,0,13,0,2,0,2,"PS, IH",KR,,
China Rock,20210713,6,36.60529,121.96017,36.60515,121.96006,2,Sea,26,30,0,0,5,40,32,0,0,2,0,0,0,1,"PS, IH",KR,,
China Rock,20210713,6,36.60529,121.96017,36.60515,121.96006,3,Land,38,1,1,1,8,45,34,0,0,10,0,1,2,0,"PS, IH",KR,,
China Rock,20210713,6,36.60529,121.96017,36.60515,121.96006,4,Sea,30,1,0,0,9,16,32,0,0,12,0,1,0,0,"PS, IH",KR,,
China Rock,20210713,6,36.60529,121.96017,36.60515,121.96006,5,Land,70,3,0,0,15,60,70,0,0,6,0,3,0,0,"PS, IH",KR,,
Cannery Row,20210628,5,36.61426,121.89788,36.61443,121.89787,1,NA,42,0,5,0,4,0,30,0,0,27,6,9,0,NA,"PS, AJH, EV",KR,,
Cannery Row,20210628,5,36.61426,121.89788,36.61443,121.89787,2,NA,22,1,11,0,17,0,18,0,0,35,7,2,0,NA,"PS, AJH, EV",KR,,
Cannery Row,20210628,5,36.61426,121.89788,36.61443,121.89787,3,NA,11,0,0,0,0,0,54,0,0,44,1,0,0,NA,"PS, AJH, EV",KR,,
Cannery Row,20210628,5,36.61426,121.89788,36.61443,121.89787,4,NA,2,1,1,0,1,0,7,0,0,88,0,0,0,NA,"PS, AJH, EV",KR,,
Cannery Row,20210628,5,36.61426,121.89788,36.61443,121.89787,5,NA,40,2,4,0,1,0,9,0,0,40,10,2,0,NA,"PS, AJH, EV",KR,,
Sea Palm,20210712,4,36.6288,121.92147,36.62897,121.9216,1,Sea,25,0,2,3,34,0,4,0,30,8,0,0,0,0,"KR, EV, DP",KR,,
Sea Palm,20210712,4,36.6288,121.92147,36.62897,121.9216,2,Land,50,0,0,1,10,0,3,0,8,36,0,0,0,0,"KR, EV, DP",KR,,
Sea Palm,20210712,4,36.6288,121.92147,36.62897,121.9216,3,Sea,45,0,0,4,15,0,36,0,30,5,0,0,0,0,"KR, EV, DP",KR,,
Sea Palm,20210712,4,36.6288,121.92147,36.62897,121.9216,4,Land,60,2,0,1,15,0,10,0,20,5,0,3,0,0,"KR, EV, DP",KR,,
Sea Palm,20210712,4,36.6288,121.92147,36.62897,121.9216,5,Sea,30,0,0,3,23,0,13,0,20,20,0,0,0,0,"KR, EV, DP",KR,,
Sea Palm,20210712,6,36.62953,121.92141,36.6297,121.92133,1,Land,44,5,2,1,15,0,25,0,1,14,0,0,0,0,"PS, IH",KR,,
Sea Palm,20210712,6,36.62953,121.92141,36.6297,121.92133,2,Sea,98,4,1,1,7,0,51,0,0,2,0,0,0,0,"PS, IH",KR,,
Sea Palm,20210712,6,36.62953,121.92141,36.6297,121.92133,3,Land,43,8,3,0,27,0,5,0,0,13,0,0,0,0,"PS, IH",KR,,
Sea Palm,20210712,6,36.62953,121.92141,36.6297,121.92133,4,Sea,67,7,0,1,4,0,4,0,0,41,0,0,0,0,"PS, IH",KR,,
Sea Palm,20210712,6,36.62953,121.92141,36.6297,121.92133,5,Land,18,26,14,1,16,2,9,0,0,10,1,0,4,0,"PS, IH",KR,,
Point Pinos,20210624,3,36.63803,121.93687,36.63819,121.93697,1,NA,25,1,1,0,2,17,35,0,0,7,2,12,0,0,"EV, EC",KR,,
Point Pinos,20210624,3,36.63803,121.93687,36.63819,121.93697,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EV, EC",KR,,
Point Pinos,20210624,3,36.63803,121.93687,36.63819,121.93697,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EV, EC",KR,,
Point Pinos,20210624,3,36.63803,121.93687,36.63819,121.93697,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EV, EC",KR,,
Point Pinos,20210624,3,36.63803,121.93687,36.63819,121.93697,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EV, EC",KR,,
Point Pinos,20210624,4,36.63837,121.93707,36.63847,121.93723,1,Land,47,1,0,0,2,3,35,0,0,18,NA,1,2,NA,"IH, PS",KR,,
Point Pinos,20210624,4,36.63837,121.93707,36.63847,121.93723,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IH, PS",KR,,quad2&3 did not do due to tide
Point Pinos,20210624,4,36.63837,121.93707,36.63847,121.93723,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IH, PS",KR,,
Point Pinos,20210624,4,36.63837,121.93707,36.63847,121.93723,4,Land,40,1,1,0,8,1,15,0,0,26,2,1,1,NA,"IH, PS",KR,,
Point Pinos,20210624,4,36.63837,121.93707,36.63847,121.93723,5,Sea,20,0,0,1,30,1,16,0,1,28,7,0,6,NA,"IH, PS",KR,,
Point Pinos,20210624,2,36.63791,121.93667,36.63801,121.93684,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KR, ADT ",KR,,
Point Pinos,20210624,2,36.63791,121.93667,36.63801,121.93684,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KR, ADT ",KR,,
Point Pinos,20210624,2,36.63791,121.93667,36.63801,121.93684,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KR, ADT ",KR,,
Point Pinos,20210624,2,36.63791,121.93667,36.63801,121.93684,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KR, ADT ",KR,,
Point Pinos,20210624,2,36.63791,121.93667,36.63801,121.93684,5,NA,56,6,0.5,0,5,1,18,0,0.5,16,NA,1,0.5,NA,"KR, ADT ",KR,,quadrat may have shifted from original position
Sea Palm,20210712,5,36.62934,121.92155,36.62951,121.92147,1,Land,60,0.5,0,1,10,0,3,0,0.5,44,0,0,0,4,"EC, ADT, LD",KR,,
Sea Palm,20210712,5,36.62934,121.92155,36.62951,121.92147,2,Sea,46,1,0,0.5,7,0,6,0,0.5,52,0,0,0,3,"EC, ADT, LD",KR,,
Sea Palm,20210712,5,36.62934,121.92155,36.62951,121.92147,3,Land,20,0,0,0.5,10,0,13,0,2,60,0,0,0,7,"EC, ADT, LD",KR,,
Sea Palm,20210712,5,36.62934,121.92155,36.62951,121.92147,4,Sea,28,0.5,0,2,30,0,25,0,1,20,0,1,0,2,"EC, ADT, LD",KR,,
Sea Palm,20210712,5,36.62934,121.92155,36.62951,121.92147,5,Land,35,1,0,0,0,0,21,0,0.5,34,0,0,0,4,"EC, ADT, LD",KR,,
Hopkins,20210723,3,36.62126,121.9032,36.6214,121.90339,1,Land,40,2,1,0,10,0,50,0,0,10,0,1,0,3,"KR, AJH",KR,,
Hopkins,20210723,3,36.62126,121.9032,36.6214,121.90339,2,Sea,15,0,1,1,15,0,43,0,2,35,0,2,0,0,"KR, AJH",KR,,
Hopkins,20210723,3,36.62126,121.9032,36.6214,121.90339,3,Land,16,0,0,0,6,0,38,0,0,52,2,3,0,0,"KR, AJH",KR,,
Hopkins,20210723,3,36.62126,121.9032,36.6214,121.90339,4,Sea,7,0,0,0,5,0,60,0,0,30,2,1,0,0,"KR, AJH",KR,,
Hopkins,20210723,3,36.62126,121.9032,36.6214,121.90339,5,Land,15,7,1,0,8,0,20,0,0,63,0,1,0,1,"KR, AJH",KR,,
Hopkins,20210723,3,36.62126,121.9032,36.6214,121.90339,6,Sea,30,0,0,0,45,1,60,0,0,0,0,4,0,1,"KR, AJH",KR,,
